Entity,Code,Year,Fossil fuels
Africa,OWID_AFR,1965,94.580734
Africa,OWID_AFR,1966,94.2276
Africa,OWID_AFR,1967,94.03624
Africa,OWID_AFR,1968,93.39453
Africa,OWID_AFR,1969,92.49428
Africa,OWID_AFR,1970,91.35046
Africa,OWID_AFR,1971,92.310776
Africa,OWID_AFR,1972,91.72368
Africa,OWID_AFR,1973,91.93128
Africa,OWID_AFR,1974,91.26371
Africa,OWID_AFR,1975,91.2869
Africa,OWID_AFR,1976,91.09363
Africa,OWID_AFR,1977,90.71911
Africa,OWID_AFR,1978,90.994705
Africa,OWID_AFR,1979,91.16022
Africa,OWID_AFR,1980,91.99381
Africa,OWID_AFR,1981,92.59531
Africa,OWID_AFR,1982,93.05527
Africa,OWID_AFR,1983,93.9086
Africa,OWID_AFR,1984,93.67147
Africa,OWID_AFR,1985,93.11795
Africa,OWID_AFR,1986,92.564255
Africa,OWID_AFR,1987,93.370674
Africa,OWID_AFR,1988,92.82963
Africa,OWID_AFR,1989,92.47753
Africa,OWID_AFR,1990,92.88254
Africa,OWID_AFR,1991,92.428085
Africa,OWID_AFR,1992,92.81143
Africa,OWID_AFR,1993,93.16087
Africa,OWID_AFR,1994,93.0546
Africa,OWID_AFR,1995,92.93251
Africa,OWID_AFR,1996,92.79671
Africa,OWID_AFR,1997,92.70678
Africa,OWID_AFR,1998,92.428925
Africa,OWID_AFR,1999,92.36245
Africa,OWID_AFR,2000,92.05155
Africa,OWID_AFR,2001,92.07969
Africa,OWID_AFR,2002,91.7823
Africa,OWID_AFR,2003,92.28219
Africa,OWID_AFR,2004,92.51258
Africa,OWID_AFR,2005,92.55099
Africa,OWID_AFR,2006,92.54551
Africa,OWID_AFR,2007,92.5704
Africa,OWID_AFR,2008,92.81542
Africa,OWID_AFR,2009,92.7635
Africa,OWID_AFR,2010,92.4708
Africa,OWID_AFR,2011,92.439674
Africa,OWID_AFR,2012,92.73676
Africa,OWID_AFR,2013,92.55616
Africa,OWID_AFR,2014,92.304855
Africa,OWID_AFR,2015,92.37499
Africa,OWID_AFR,2016,92.34964
Africa,OWID_AFR,2017,92.16625
Africa,OWID_AFR,2018,91.87844
Africa,OWID_AFR,2019,91.579636
Africa,OWID_AFR,2020,90.72619
Africa,OWID_AFR,2021,90.76393
Africa,OWID_AFR,2022,90.66081
Africa,OWID_AFR,2023,90.45652
Africa,OWID_AFR,2024,90.33452
Africa (EI),,1965,94.580734
Africa (EI),,1966,94.2276
Africa (EI),,1967,94.03624
Africa (EI),,1968,93.39453
Africa (EI),,1969,92.49428
Africa (EI),,1970,91.35046
Africa (EI),,1971,92.310776
Africa (EI),,1972,91.72368
Africa (EI),,1973,91.93128
Africa (EI),,1974,91.26371
Africa (EI),,1975,91.2869
Africa (EI),,1976,91.09363
Africa (EI),,1977,90.71911
Africa (EI),,1978,90.994705
Africa (EI),,1979,91.16022
Africa (EI),,1980,91.99381
Africa (EI),,1981,92.59531
Africa (EI),,1982,93.05527
Africa (EI),,1983,93.9086
Africa (EI),,1984,93.67147
Africa (EI),,1985,93.11795
Africa (EI),,1986,92.564255
Africa (EI),,1987,93.370674
Africa (EI),,1988,92.82963
Africa (EI),,1989,92.47753
Africa (EI),,1990,92.88254
Africa (EI),,1991,92.428085
Africa (EI),,1992,92.81143
Africa (EI),,1993,93.16087
Africa (EI),,1994,93.0546
Africa (EI),,1995,92.93251
Africa (EI),,1996,92.79671
Africa (EI),,1997,92.70678
Africa (EI),,1998,92.428925
Africa (EI),,1999,92.36245
Africa (EI),,2000,92.05155
Africa (EI),,2001,92.07969
Africa (EI),,2002,91.7823
Africa (EI),,2003,92.28219
Africa (EI),,2004,92.51258
Africa (EI),,2005,92.55099
Africa (EI),,2006,92.54551
Africa (EI),,2007,92.5704
Africa (EI),,2008,92.81542
Africa (EI),,2009,92.7635
Africa (EI),,2010,92.4708
Africa (EI),,2011,92.439674
Africa (EI),,2012,92.73676
Africa (EI),,2013,92.55616
Africa (EI),,2014,92.304855
Africa (EI),,2015,92.37499
Africa (EI),,2016,92.34964
Africa (EI),,2017,92.16625
Africa (EI),,2018,91.87844
Africa (EI),,2019,91.579636
Africa (EI),,2020,90.72619
Africa (EI),,2021,90.76393
Africa (EI),,2022,90.66081
Africa (EI),,2023,90.45652
Africa (EI),,2024,90.33452
Algeria,DZA,1965,95.51265
Algeria,DZA,1966,96.68745
Algeria,DZA,1967,95.95765
Algeria,DZA,1968,94.82911
Algeria,DZA,1969,97.00436
Algeria,DZA,1970,95.60466
Algeria,DZA,1971,97.68948
Algeria,DZA,1972,96.914215
Algeria,DZA,1973,96.0673
Algeria,DZA,1974,97.65291
Algeria,DZA,1975,98.70417
Algeria,DZA,1976,98.68277
Algeria,DZA,1977,99.171265
Algeria,DZA,1978,99.38716
Algeria,DZA,1979,99.45563
Algeria,DZA,1980,99.59689
Algeria,DZA,1981,99.5274
Algeria,DZA,1982,99.46354
Algeria,DZA,1983,99.759056
Algeria,DZA,1984,99.51731
Algeria,DZA,1985,99.31557
Algeria,DZA,1986,99.7497
Algeria,DZA,1987,99.51378
Algeria,DZA,1988,99.83354
Algeria,DZA,1989,99.78865
Algeria,DZA,1990,99.880936
Algeria,DZA,1991,99.739174
Algeria,DZA,1992,99.82736
Algeria,DZA,1993,99.670876
Algeria,DZA,1994,99.84726
Algeria,DZA,1995,99.82878
Algeria,DZA,1996,99.87899
Algeria,DZA,1997,99.93005
Algeria,DZA,1998,99.80629
Algeria,DZA,1999,99.81892
Algeria,DZA,2000,99.94999
