Entity,Year,renewable_share,fossil_share
United States,2000,9.229898,87.80987
United States,2001,7.5132055,88.059235
United States,2002,8.749216,87.56273
United States,2003,9.025211,87.655205
United States,2004,8.733411,87.66465
United States,2005,8.749464,87.69307
United States,2006,9.418474,87.16901
United States,2007,8.39841,87.40882
United States,2008,9.1809435,86.65611
United States,2009,10.547689,85.57359
United States,2010,10.3180895,85.799385
United States,2011,12.466524,84.93362
United States,2012,12.184118,84.97841
United States,2013,12.831115,84.81784
United States,2014,13.35031,84.7338
United States,2015,13.626135,84.49231
United States,2016,15.288093,83.68088
United States,2017,17.451527,82.99666
United States,2018,17.44999,83.423416
United States,2019,18.294624,83.05304
United States,2020,20.315693,81.48905
United States,2021,20.74287,82.049805
United States,2022,22.350468,81.552185
United States,2023,22.6789,81.1467
China,2000,16.639126,94.26894
China,2001,18.958124,93.35999
China,2002,17.618395,93.56922
China,2003,15.036272,94.2496
China,2004,16.22241,93.96906
China,2005,16.173119,94.08019
China,2006,15.588404,94.09483
China,2007,15.258385,93.93153
China,2008,19.025333,92.43093
China,2009,17.885717,92.76033
China,2010,18.69147,92.13224
China,2011,16.812574,92.57921
China,2012,20.041142,91.15173
China,2013,20.129684,90.67913
China,2014,22.249393,89.328186
China,2015,23.968369,88.47951
China,2016,24.8288,87.35744
China,2017,25.241505,86.629196
China,2018,25.611975,85.85021
China,2019,26.849586,85.04849
China,2020,28.08832,84.406624
China,2021,28.69376,83.49581
China,2022,30.181347,82.45503
China,2023,30.605776,82.21975
India,2000,14.048198,92.777855
India,2001,12.99971,92.906784
India,2002,11.938192,93.40775
India,2003,11.695108,93.61887
India,2004,15.637529,91.783966
India,2005,15.254357,92.60253
India,2006,17.135258,91.89071
India,2007,17.801973,91.81936
India,2008,16.768269,92.56427
India,2009,15.165655,93.29551
India,2010,15.1144285,92.97741
India,2011,16.65569,91.75987
India,2012,14.8683405,92.55565
India,2013,16.034454,92.0556
India,2014,15.770489,92.01298
India,2015,14.625045,92.40954
India,2016,14.438,92.473145
India,2017,15.451419,92.111275
India,2018,16.293703,91.61597
India,2019,17.61671,90.6813
India,2020,19.006927,89.84748
India,2021,18.791103,90.204025
India,2022,20.189959,89.44429
India,2023,19.286749,90.04724
Germany,2000,6.2237453,85.3996
Germany,2001,6.5429926,85.50872
Germany,2002,7.621283,85.32732
Germany,2003,7.7521048,85.26161
Germany,2004,9.509515,84.342415
Germany,2005,10.341735,83.89347
Germany,2006,11.513804,83.13352
Germany,2007,14.172081,82.98074
Germany,2008,14.925115,82.44473
Germany,2009,16.341248,82.207756
Germany,2010,16.886946,81.96338
Germany,2011,20.566942,82.2461
Germany,2012,23.136122,81.68094
Germany,2013,24.13092,81.92043
Germany,2014,26.170504,80.450035
Germany,2015,29.43505,79.48593
Germany,2016,29.481544,80.318436
Germany,2017,33.466778,79.739075
Germany,2018,35.25811,78.77618
Germany,2019,40.18897,77.18787
Germany,2020,44.374065,75.38959
Germany,2021,40.167233,77.13962
Germany,2022,44.372704,77.17734
Germany,2023,54.685036,75.83647
Brazil,2000,89.49073,58.333527
Brazil,2001,84.28854,61.070534
Brazil,2002,85.73991,59.53168
Brazil,2003,87.16485,57.989372
Brazil,2004,86.035774,58.26993
Brazil,2005,87.128784,57.67403
Brazil,2006,86.75408,57.428024
Brazil,2007,88.22644,56.51903
Brazil,2008,84.31496,57.326797
Brazil,2009,89.046906,54.65283
Brazil,2010,84.80225,56.281063
Brazil,2011,87.19347,56.3705
Brazil,2012,82.5629,58.501488
Brazil,2013,76.824974,60.441677
Brazil,2014,73.279144,61.31813
Brazil,2015,74.2077,60.216824
Brazil,2016,80.46779,57.284515
Brazil,2017,79.24727,57.551292
Brazil,2018,82.35754,54.730865
Brazil,2019,81.38569,53.677593
Brazil,2020,83.16686,51.846886
Brazil,2021,77.372025,55.294044
Brazil,2022,87.70306,51.359085
Brazil,2023,88.994804,50.108852
United Kingdom,2000,2.628229,90.02241
United Kingdom,2001,2.4794033,89.68949
United Kingdom,2002,2.8716042,89.59057
United Kingdom,2003,2.684513,89.72918
United Kingdom,2004,3.5895612,90.375465
United Kingdom,2005,4.2500315,90.03113
United Kingdom,2006,4.5560956,90.40276
United Kingdom,2007,4.959553,91.21161
United Kingdom,2008,5.640683,91.76603
United Kingdom,2009,6.699225,89.50402
United Kingdom,2010,6.852327,90.4006
United Kingdom,2011,9.565997,88.04133
United Kingdom,2012,11.333718,87.46199
United Kingdom,2013,14.851513,85.7485
United Kingdom,2014,19.081284,84.265205
United Kingdom,2015,24.599405,81.5761
United Kingdom,2016,24.473732,81.267265
United Kingdom,2017,29.238365,79.68952
United Kingdom,2018,32.99976,78.75837
United Kingdom,2019,36.596474,77.91927
United Kingdom,2020,43.06478,74.61166
United Kingdom,2021,39.7824,76.76358
United Kingdom,2022,41.6107,75.07657
United Kingdom,2023,46.378147,74.83686
Japan,2000,9.187302,81.14391
Japan,2001,9.077312,81.10173
Japan,2002,8.942316,81.44608
Japan,2003,10.262771,84.679985
Japan,2004,10.027739,82.51284
Japan,2005,8.914464,83.01996
Japan,2006,9.831237,82.08084
Japan,2007,8.622925,83.62267
Japan,2008,8.615359,84.60263
Japan,2009,8.732339,82.358826
Japan,2010,10.22802,81.798515
Japan,2011,10.278935,87.07562
Japan,2012,10.058001,93.792755
Japan,2013,11.082408,93.4992
Japan,2014,12.599744,93.39551
Japan,2015,14.951656,92.10037
Japan,2016,14.268122,91.56473
Japan,2017,15.16446,90.60785
Japan,2018,16.191257,89.04158
Japan,2019,16.842657,87.99147
Japan,2020,19.09241,87.32939
Japan,2021,20.116558,86.16989
Japan,2022,20.48781,86.28502
Japan,2023,22.137018,84.119446
France,2000,12.736593,56.16045
France,2001,14.023221,55.476868
France,2002,11.372541,55.28369
France,2003,10.993866,55.76491
France,2004,11.022427,55.689438
France,2005,9.660189,55.94653
France,2006,10.736824,55.381702
France,2007,11.444539,55.192608
France,2008,12.757065,54.62952
France,2009,12.885964,55.185635
France,2010,13.635394,54.455025
France,2011,11.630405,53.03005
France,2012,15.019909,52.93219
France,2013,17.239706,52.579575
France,2014,16.60398,49.8615
France,2015,15.996098,50.68937
France,2016,17.715267,52.510807
France,2017,16.538311,53.59447
France,2018,19.757393,51.165222
France,2019,19.963926,51.565536
France,2020,23.713608,49.739986
France,2021,22.187494,50.61077
France,2022,24.201088,54.470905
France,2023,26.889639,49.289146
Norway,2000,99.71232,29.206993
Norway,2001,99.52193,33.00236
Norway,2002,99.58537,31.676008
Norway,2003,99.40002,37.349567
Norway,2004,99.35513,36.587067
Norway,2005,99.468124,31.315474
Norway,2006,99.32355,34.33814
Norway,2007,99.1404,32.20228
Norway,2008,99.40506,30.68267
Norway,2009,96.57174,32.372486
Norway,2010,95.7934,35.370525
Norway,2011,96.807755,34.37607
Norway,2012,98.22821,30.79771
Norway,2013,97.95704,33.126568
Norway,2014,97.91312,32.085735
Norway,2015,97.95106,32.324345
Norway,2016,98.05444,30.95378
Norway,2017,98.11829,31.10566
Norway,2018,98.01974,31.868404
Norway,2019,97.93768,33.258595
Norway,2020,98.51607,29.037094
Norway,2021,99.31903,28.694576
Norway,2022,98.6453,30.351593
Norway,2023,98.470345,29.24203
Australia,2000,8.089287,96.23549
Australia,2001,7.696424,96.344635
Australia,2002,8.031679,96.28915
Australia,2003,8.258464,96.20349
Australia,2004,8.454391,96.17094
Australia,2005,8.979804,95.9049
Australia,2006,8.882726,95.97647
Australia,2007,8.343271,96.21353
Australia,2008,7.7919965,96.50087
Australia,2009,8.067227,96.277824
Australia,2010,8.829741,95.91235
Australia,2011,11.943968,94.60804
Australia,2012,12.076119,94.60008
Australia,2013,14.237057,93.82731
Australia,2014,13.228346,94.33728
Australia,2015,14.095042,94.04469
Australia,2016,16.163885,93.214905
Australia,2017,15.133026,93.62653
Australia,2018,18.844002,92.15236
Australia,2019,20.78225,91.59279
Australia,2020,24.242882,89.70777
Australia,2021,28.891378,87.717415
Australia,2022,32.038692,86.752975
Australia,2023,34.81015,85.67655
